SSBB,MLBAM,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
369,595751,Bos,Jorge,Alfaro,,,,,,0.4,0.15,0.4,0.15,-5,-7,-19,11,15,45
370,624512,Bos,Reese,McGuire,,,,,,0.44,0.19,0.44,0.19,6,7,15,-20,-25,-52
371,643376,Tor,Danny,Jansen,,,,,,0.46,0.16,0.47,0.17,2,-3,2,-5,7,-4
372,543309,NYA,Kyle,Higashioka,,,,,,0.47,0.15,0.48,0.15,-7,-7,-19,15,17,42
373,680777,Min,Ryan,Jeffers,,,,,,0.53,0.16,0.54,0.16,-9,-12,-18,21,27,41
374,641598,Tex,Mitch,Garver,,,,,,0.5,0.14,0.51,0.15,-3,-5,-16,6,11,34
375,664874,ChA,Seby,Zavala,,,,,,0.53,0.15,0.53,0.15,0,-5,-5,0,12,12
376,543510,Bal,James,McCann,,,,,,0.5,0.17,0.5,0.17,1,-2,-6,-1,5,14
377,669127,Oak,Shea,Langeliers,,,,,,0.53,0.17,0.54,0.17,-5,-9,-10,12,21,23
378,669087,Tex,Sam,Huff,,,,,,0.54,0.16,0.55,0.16,-3,-6,-12,6,14,26
379,572287,Cle,Mike,Zunino,,,,,,0.49,0.15,0.5,0.15,-14,-17,-37,30,36,82
380,650907,TB,Rene,Pinto,,,,,,0.5,0.15,0.51,0.15,-4,-7,-9,9,16,22
